Country_Name,Market_Year,Value(1000 HA)
China,1960,5225
China,1961,3870
China,1962,3497
China,1963,4409
China,1964,4935
China,1965,5003
China,1966,4925
China,1967,5098
China,1968,4986
China,1969,4829
China,1970,4997
China,1971,4923
China,1972,4896
China,1973,4942
China,1974,5013
China,1975,4955
China,1976,4929
China,1977,4845
China,1978,4867
China,1979,4512
China,1980,4920
China,1981,5185
China,1982,5828
China,1983,6077
China,1984,6923
China,1985,5140
China,1986,4306
China,1987,4844
China,1988,5535
China,1989,5203
China,1990,5588
China,1991,6539
China,1992,6835
China,1993,5000
China,1994,5530
China,1995,5422
China,1996,4722
China,1997,4491
China,1998,4459
China,1999,3726
China,2000,4058
China,2001,4820
China,2002,4500
China,2003,5300
China,2004,5900
China,2005,5350
China,2006,5950
China,2007,6200
China,2008,6050
China,2009,5300
China,2010,5250
China,2011,5500
China,2012,5300
China,2013,4800
China,2014,4400
China,2015,3100
China,2016,2900
India,1960,7610
India,1961,7978
India,1962,7730
India,1963,8221
India,1964,8365
India,1965,7962
India,1966,7836
India,1967,7995
India,1968,7596
India,1969,7731
India,1970,7605
India,1971,7800
India,1972,7679
India,1973,7574
India,1974,7562
India,1975,7350
India,1976,6885
India,1977,7866
India,1978,8119
India,1979,8127
India,1980,7823
India,1981,8057
India,1982,7871
India,1983,7721
India,1984,7382
India,1985,7533
India,1986,6948
India,1987,6471
India,1988,7343
India,1989,7331
India,1990,7440
India,1991,7661
India,1992,7543
India,1993,7440
India,1994,7861
India,1995,9063
India,1996,9122
India,1997,8904
India,1998,9287
India,1999,8791
India,2000,8576
India,2001,8730
India,2002,7667
India,2003,7630
India,2004,8786
India,2005,8873
India,2006,9166
India,2007,9439
India,2008,9406
India,2009,10310
India,2010,11140
India,2011,12200
India,2012,12000
India,2013,11700
India,2014,12700
India,2015,11900
India,2016,11800
United States,1960,6195
United States,1961,6327
United States,1962,6301
United States,1963,5752
United States,1964,5689
United States,1965,5510
United States,1966,3866
United States,1967,3236
United States,1968,4112
United States,1969,4474
United States,1970,4514
United States,1971,4643
United States,1972,5255
United States,1973,4844
United States,1974,5086
United States,1975,3560
United States,1976,4417
United States,1977,5372
United States,1978,5018
United States,1979,5193
United States,1980,5348
United States,1981,5601
United States,1982,3939
United States,1983,2973
United States,1984,4200
United States,1985,4140
United States,1986,3427
United States,1987,4059
United States,1988,4835
United States,1989,3860
United States,1990,4748
United States,1991,5245
United States,1992,4501
United States,1993,5173
United States,1994,5391
United States,1995,6478
United States,1996,5216
United States,1997,5425
United States,1998,4324
United States,1999,5433
United States,2000,5282
United States,2001,5596
United States,2002,5025
United States,2003,4858
United States,2004,5284
United States,2005,5586
United States,2006,5152
United States,2007,4245
United States,2008,3063
United States,2009,3049
United States,2010,4330
United States,2011,3829
United States,2012,3772
United States,2013,3053
United States,2014,3783
United States,2015,3268
United States,2016,3561
